text,label
"Hello, how are you doing today?","greeting"
"Hey there, nice to meet you!","greeting"
"Good morning, sunshine!","greeting"
"Hi, welcome back!","greeting"
"Greetings from our team.","greeting"
"Hello, hope you're doing well.","greeting"
"Hiya! What's new?","greeting"
"Salutations, my friend.","greeting"
"Hello, anyone home?","greeting"
"Hey, excited to start this project!","greeting"
"What's the best way to manage time effectively?","question"
"Could you show me how to run this code?","question"
"Have you tried restarting the device?","question"
"Where can I find the documentation?","question"
"Why does this error keep appearing?","question"
"When will the meeting take place?","question"
"Is there a way to optimize this query?","question"
"Which library should I install first?","question"
"Do you think we can automate this?","question"
"How do I set up a virtual environment?","question"
"Buy one, get one free on all items!","advertisement"
"Limited-time offer: 30% off everything.","advertisement"
"Exclusive deal: sign up today for a bonus.","advertisement"
"Don't miss out on our holiday sale.","advertisement"
"Lowest prices guaranteed on our new line.","advertisement"
"Order now and receive a complimentary gift.","advertisement"
"Flash sale ending soon, act fast!","advertisement"
"Huge discounts available for VIP members.","advertisement"
"Get your free trial before it expires.","advertisement"
"Join today and unlock premium features.","advertisement"
"Win a brand new phone by clicking here!","spam"
"Congratulations, you've been selected!","spam"
"Earn money quickly with this one trick!","spam"
"Your account has been compromised, sign in now!","spam"
"Lose weight fast with our magic pills!","spam"
"This is not a joke, you are the winner!","spam"
"Claim your prize immediately, don't delay!","spam"
"You've won a free vacation, just pay shipping!","spam"
"Unbelievable profits in just two weeks!","spam"
"Act now to get rich overnight!","spam"
"Thank you so much for your support.","thankyou"
"I appreciate your help on this project.","thankyou"
"Thanks for always being there.","thankyou"
"Your assistance is greatly appreciated.","thankyou"
"I'm grateful for all your hard work.","thankyou"
"Thank you for the quick turnaround.","thankyou"
"Many thanks for your prompt reply.","thankyou"
"You've been a big help, thank you.","thankyou"
"Thanks a million for your insight.","thankyou"
"I can't thank you enough for this.","thankyou"
"Your order has been shipped and is on the way.","shipping"
"Expected delivery date is next Tuesday.","shipping"
"Tracking code: XY12345US, check the status.","shipping"
"Please confirm your shipping address.","shipping"
"Shipping fees may apply for international orders.","shipping"
"Package delayed due to weather conditions.","shipping"
"Your delivery is arriving tomorrow.","shipping"
"We apologize for the shipping delay.","shipping"
"Customs clearance is required for this item.","shipping"
"Signature is required upon delivery.","shipping"
"The sky was purple at dawn.","random"
"I once saw a cat chasing a laser pointer.","random"
"Random thoughts keep me up at night.","random"
"Did you hear about the hummingbird migration?","random"
"Sometimes, silence is the best answer.","random"
"My coffee cup is always half full.","random"
"Life is better with a good playlist.","random"
"The cat meowed at the moon.","random"
"A stitch in time saves nine.","random"
"Always remember to backup your files.","random"
"Lorem ipsum dolor sit amet, consectetur adipiscing elit.","placeholder"
"Curabitur ullamcorper ultricies nisi.","placeholder"
"Donec vitae sapien ut libero venenatis faucibus.","placeholder"
"Nullam quis ante et orci egestas eleifend.","placeholder"
"Suspendisse potenti aliquam et ultricies.","placeholder"
"Duis arcu tortor, suscipit eget, imperdiet nec.","placeholder"
"In ac felis quis tortor malesuada pretium.","placeholder"
"Vestibulum fringilla pede sit amet augue.","placeholder"
"Phasellus gravida semper nisi.","placeholder"
"Praesent egestas neque eu enim consequat.","placeholder"
"Breaking news: local team's victory stuns fans.","news"
"Scientists discover new planet in distant galaxy.","news"
"Elections results are finally in.","news"
"Economy shows signs of steady growth.","news"
"Major tech merger announced yesterday.","news"
"Wildfire contained after week of efforts.","news"
"City council approves new park project.","news"
"Weather forecast predicts heavy rain this weekend.","news"
"Healthcare reform bill passes Senate vote.","news"
"Archeologists unearth ancient civilization artifacts.","news"
"Running unit tests for the new feature.","test"
"Ensure all assertions pass in the CI pipeline.","test"
"Test the authentication flow thoroughly.","test"
"Check boundary conditions for input validation.","test"
"Load testing reveals performance bottlenecks.","test"
"Integration test ensures end-to-end coverage.","test"
"Mock dependencies to isolate the component.","test"
"Regression testing after code refactor.","test"
"Automated tests maintain code stability.","test"
"Manual testing remains essential for UX feedback.","test"
